idPais,Nombre
CHL,REPÚBLICA  DE  CHILE
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
ITA,REPÚBLICA  ITALIANA
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
CHN,REPÚBLICA  POPULAR  DE  CHINA
AUS,AUSTRALIA
CHL,REPÚBLICA  DE  CHILE
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
ESP,REINO  DE  ESPAÑA
CAN,CANADÁ
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
CHL,REPÚBLICA  DE  CHILE
ESP,REINO  DE  ESPAÑA
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
ARG,REPÚBLICA  ARGENTINA
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
AGO,REPÚBLICA  DE  ANGOLA
SAU,REINO  DE  ARABIA  SAUDITA
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR
ARM,REPÚBLICA  DE  ARMENIA
SYR,REPÚBLICA  ÁRABE  SIRIA
AUS,AUSTRALIA
AZE,REPÚBLICA  DE  AZERBAIYÁN
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH
BRB,BARBADOS
BEL,Reino  de  Bélgica
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
BGR,REPÚBLICA  DE  BULGARIA
CAN,CANADÁ
BEL,Reino  de  Bélgica
CZE,REPÚBLICA  CHECA
CHN,REPÚBLICA  POPULAR  DE  CHINA
COL,REPÚBLICA  DE  COLOMBIA
KOR,REPÚBLICA  DE  COREA
CUB,REPÚBLICA  DE  CUBA
DNK,REINO  DE  DINAMARCA
DOM,REPÚBLICA  DOMINICANA
ARE,EMIRATOS  ÁRABES  UNIDOS
ECU,REPÚBLICA  DEL  ECUADOR
USA,Estados  Unidos  de  América
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO
USA,Estados  Unidos  de  América
ESP,REINO  DE  ESPAÑA
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA
PHL,REPÚBLICA  DE  FILIPINAS
FIN,REPÚBLICA  DE  FINLANDIA
FRA,REPÚBLICA  FRANCESA
RUS,FEDERACIÓN  DE  RUSIA
GRC,REPÚBLICA  HELÉNICA
GTM,REPÚBLICA  DE  GUATEMALA
GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA
HTI,REPÚBLICA  DE  HAITÍ
CHL,REPÚBLICA  DE  CHILE
HND,REPÚBLICA  DE  HONDURAS
IND,REPÚBLICA  DE  LA  INDIA
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN
IRL,IRLANDA
IDN,REPÚBLICA  DE  INDONESIA
ISR,ESTADO  DE  ISRAEL
ITA,REPÚBLICA  ITALIANA
JAM,JAMAICA
JPN,日本国  (JAPÓN)
KEN,REPÚBLICA  DE  KENYA
KWT,ESTADO  DE  KUWAIT
LBY,ESTADO  DE  LIBIA
LBN,REPÚBLICA  LIBANESA
LCA,SANTA  LUCÍA
MAR,REINO  DE  MARRUECOS
MEX,ESTADOS  UNIDOS  MEXICANOS
ITA,REPÚBLICA  ITALIANA
MOZ,REPÚBLICA  DE  MOZAMBIQUE
MYS,MALASIA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
USA,Estados  Unidos  de  América
NIC,REPÚBLICA  DE  NICARAGUA
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA
NOR,REINO  DE  NORUEGA
NZL,NUEVA  ZELANDIA
CHE,Confederación  Suiza
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN
PRY,REPÚBLICA  DEL  PARAGUAY
NLD,REINO  DE  LOS  PAÍSES  BAJOS
PER,REPÚBLICA  DEL  PERÚ
PAN,REPÚBLICA  DE  PANAMÁ
POL,REPÚBLICA  DE  POLONIA
PRT,REPÚBLICA  PORTUGUESA
QAT,ESTADO  DE  QATAR
CRI,REPÚBLICA  DE  COSTA  RICA
ROU,RUMANIA
GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE
ZAF,REPÚBLICA  DE  SUDÁFRICA
SLV,REPÚBLICA  DE  EL  SALVADOR
SEN,REPÚBLICA  DE  SENEGAL
SRB,REPÚBLICA  DE  SERBIA
SGP,REPÚBLICA  DE  SINGAPUR
VAT,SANTA  SEDE
SWE,REINO  DE  SUECIA
CHE,Confederación  Suiza
SUR,REPÚBLICA  DE  SURINAME
THA,REINO  DE  TAILANDIA
AUT,REPÚBLICA  DE  AUSTRIA
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO
TUN,REPÚBLICA  TUNECINA
TUR,República  de  Türkiye
UKR,UCRANIA
FRA,REPÚBLICA  FRANCESA
HUN,HUNGRÍA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM
CHN,REPÚBLICA  POPULAR  DE  CHINA
PSE,ESTADO  DE  PALESTINA
